example_id,alg_id,best_objv,rent,electricity,time_pen,chrome_len,use_car_num,whole_time,exec_time,feasible_count,hit_cache
1,31,2358.68,1500,409.32,449.36,32,5,39829,32.921,-1,-1
1,32,2405.4,1800,416.34,189.06,32,6,23955,1.453,-1,94.66
2,31,2425.91,1800,426.07,199.84,32,6,29467,41.176,-1,-1
2,32,2454.8,1800,446.16,208.64,32,6,35457,1.379,-1,93.31
3,31,2808.96,1800,524.84,484.12,32,6,35981,29.246,-1,-1
3,32,2665.63,1800,464.14,401.49,32,6,35172,1.241,-1,94.36
4,31,2497.68,1500,456.69,540.99,32,5,35172,41.188,-1,-1
4,32,2741.56,1500,513.65,727.91,32,5,42214,1.368,-1,93.78
5,31,2276.2,1500,419.01,357.19,32,5,34670,32.606,-1,-1
5,32,2576.82,1800,464.57,312.25,32,6,32032,1.332,-1,93.81
6,31,2417.23,1500,463.91,453.32,32,5,43337,30.279,-1,-1
6,32,2380.29,1500,454.87,425.42,32,5,35110,1.196,-1,94.07
7,31,2618.98,1800,463.8,355.18,32,6,33341,34.585,-1,-1
7,32,2252.47,1500,422.55,329.92,32,5,43006,2.078,-1,90.28
8,31,2408.3,1500,445.51,462.79,32,5,37025,39.586,-1,-1
8,32,2509.87,1500,482.64,527.23,32,5,41218,1.477,-1,93.58
9,31,2690.89,1800,522.11,368.78,32,6,33679,22.029,-1,-1
9,32,2499.8,1500,517.36,482.44,32,5,41898,1.197,-1,91.84
10,31,2348.07,1500,443.75,404.32,32,5,36702,38.557,-1,-1
10,32,2665.21,1800,519.44,345.77,32,6,37778,1.108,-1,94.89
11,31,2386.67,1500,438.38,448.29,32,5,41320,23.818,-1,-1
11,32,2382.42,1500,423.45,458.97,32,5,33786,1.376,-1,93.39
12,31,2564.18,1800,462.34,301.84,32,6,34970,40.132,-1,-1
12,32,2332.25,1500,415.92,416.33,32,5,36316,1.417,-1,94.41
13,31,2412.22,1500,494.98,417.24,32,5,40392,31.413,-1,-1
13,32,2477.89,1500,453.33,524.56,32,5,39348,1.117,-1,96.12
14,31,2724.27,1500,479.97,744.3,32,5,44696,36.645,-1,-1
14,32,2882.89,1800,552.7,530.19,32,6,35789,1.342,-1,90.23
15,31,2199.62,1500,379.49,320.13,32,5,31722,39.259,-1,-1
15,32,2303.79,1500,426.19,377.6,32,5,35009,2.033,-1,92.2
16,31,2447.57,1800,382.23,265.34,32,6,29903,29.738,-1,-1
16,32,2357.58,1500,425.41,432.17,32,5,39931,1.298,-1,93.82
17,31,2641.07,1800,498.52,342.55,32,6,39582,29.905,-1,-1
17,32,2355.06,1500,452.41,402.65,32,5,38823,1.537,-1,92.27
18,31,2529.19,1500,479.67,549.52,32,5,36444,40.118,-1,-1
18,32,2549.92,1800,440.82,309.1,32,6,36308,1.297,-1,94.72
19,31,2301.14,1500,417.78,383.36,32,5,37695,41.043,-1,-1
19,32,2427.67,1500,444.82,482.85,32,5,40444,1.142,-1,95.26
20,31,2216.78,1500,393.82,322.96,32,5,36539,30.608,-1,-1
20,32,2580.23,1500,521.44,558.79,32,5,38051,1.624,-1,91.79
