example_id,alg_id,best_objv,rent,electricity,time_pen,chrome_len,use_car_num,whole_time,exec_time,feasible_count,hit_cache
1,11,1334.82,900,243.61,191.21,24,3,33721,3.129,-1,-1
1,21,1304.06,900,238.02,166.04,19,3,36991,3.42,-1,-1
1,31,1214.97,900,217.54,97.43,19,3,30131,11.112,-1,-1
2,11,1572.6,900,271.33,401.27,24,3,37977,2.71,-1,-1
2,21,1455.82,900,256.41,299.41,19,3,36847,3.54,-1,-1
2,31,1272.56,900,186.57,185.99,19,3,25117,9.367,-1,-1
3,11,1322.97,900,233.6,189.37,24,3,33748,3.813,-1,-1
3,21,1222.11,900,197.85,124.26,19,3,29545,3.369,-1,-1
3,31,1249.5,900,198.31,151.19,19,3,22953,9.252,-1,-1
4,11,1479.39,900,253.55,325.84,24,3,32936,2.525,-1,-1
4,21,1430.61,900,271.27,259.34,19,3,35574,3.391,-1,-1
4,31,1233.65,900,191.68,141.97,19,3,27950,11.675,-1,-1
5,11,99999999,99999999,99999999,99999999,24,-1,99999999,1.426,-1,-1
5,21,1332.01,900,230.94,201.07,19,3,32920,3.247,-1,-1
5,31,1333.42,900,230.45,202.97,19,3,33428,10.921,-1,-1
6,11,1238.76,900,204.31,134.45,24,3,26863,3.689,-1,-1
6,21,1168.54,900,163.69,104.85,19,3,21478,3.284,-1,-1
6,31,1178.89,900,171.84,107.05,19,3,21478,7.201,-1,-1
7,11,1394.44,900,252.16,242.28,24,3,33310,3.365,-1,-1
7,21,1306.76,900,225.42,181.34,19,3,32435,3.268,-1,-1
7,31,1237.6,900,188.37,149.23,19,3,24517,9.625,-1,-1
8,11,1671.54,1200,300.53,171.01,24,4,31287,3.571,-1,-1
8,21,1312.45,900,229.46,182.99,19,3,32598,3.558,-1,-1
8,31,1236.74,900,189.22,147.52,19,3,24597,6.315,-1,-1
9,11,1357.9,900,250.14,207.76,24,3,34224,3.521,-1,-1
9,21,1279.86,900,204.51,175.35,19,3,33545,3.247,-1,-1
9,31,1253.54,900,205.64,147.9,19,3,30339,11.816,-1,-1
10,11,99999999,99999999,99999999,99999999,24,-1,99999999,1.544,-1,-1
10,21,1392.37,900,255.24,237.13,19,3,38771,3.504,-1,-1
10,31,1240.12,900,192.22,147.9,19,3,23081,8.073,-1,-1
11,11,1400.22,900,238.72,261.5,24,3,30581,2.594,-1,-1
11,21,1368.42,900,271.82,196.6,19,3,37147,3.293,-1,-1
11,31,1223.87,900,204.63,119.24,19,3,31010,14.967,-1,-1
12,11,1464.81,900,242.79,322.02,24,3,30874,2.518,-1,-1
12,21,1306.82,900,218.11,188.71,19,3,32714,3.539,-1,-1
12,31,1295.66,900,213.38,182.28,19,3,24427,9.381,-1,-1
13,11,1278.5,900,207.04,171.46,24,3,29831,3.624,-1,-1
13,21,1205.7,900,185.74,119.96,19,3,23069,3.317,-1,-1
13,31,1258.59,900,195.02,163.57,19,3,27820,11.086,-1,-1
14,11,1611.18,900,285.14,426.04,24,3,37706,2.248,-1,-1
14,21,1311.98,900,220.3,191.68,19,3,33165,3.624,-1,-1
14,31,1235.83,900,177.09,158.74,19,3,22297,8.348,-1,-1
15,11,99999999,99999999,99999999,99999999,24,-1,99999999,1.461,-1,-1
15,21,1363.29,900,253.42,209.87,19,3,33602,3.212,-1,-1
15,31,1485.48,900,275.44,310.04,19,3,37984,13.658,-1,-1
16,11,1513.65,900,307.37,306.28,24,3,36108,3.431,-1,-1
16,21,1279.4,900,213.69,165.71,19,3,31043,3.322,-1,-1
16,31,1324.23,900,215.52,208.71,19,3,31043,11.244,-1,-1
17,11,99999999,99999999,99999999,99999999,24,-1,99999999,1.488,-1,-1
17,21,1226.64,900,205.83,120.81,19,3,24688,3.238,-1,-1
17,31,1211.88,900,194.69,117.19,19,3,24024,9.009,-1,-1
18,11,1321.47,900,228.54,192.93,24,3,32692,3.279,-1,-1
18,21,1199.11,900,168.99,130.12,19,3,21917,3.279,-1,-1
18,31,1190.38,900,176.76,113.62,19,3,22449,8.199,-1,-1
19,11,1416.34,900,236.71,279.63,24,3,36105,3.348,-1,-1
19,21,1372.04,900,248.56,223.48,19,3,34775,3.384,-1,-1
19,31,1283.74,900,206.07,177.67,19,3,28525,14.743,-1,-1
20,11,1370.41,900,235.06,235.35,24,3,32453,2.887,-1,-1
20,21,1191.33,900,162.43,128.9,19,3,22910,3.468,-1,-1
20,31,1219.63,900,182.24,137.39,19,3,23956,8.494,-1,-1
