example_id,alg_id,best_objv,rent,electricity,time_pen,chrome_len,use_car_num,whole_time,exec_time,feasible_count,hit_cache
1,11,99999999,99999999,99999999,99999999,12,-1,99999999,0.928,-1,-1
1,21,1359.08,900,260.86,198.22,9,3,39728,1.939,-1,-1
1,31,1168.74,600,272.52,296.22,9,2,43131,2.714,-1,-1
1,35,1168.74,600,272.52,296.22,9,2,43131,19.546,23856,-1
2,11,1170.61,600,258.52,312.09,12,2,41506,1.689,-1,-1
2,21,1114.65,600,230.02,284.63,9,2,43746,1.815,-1,-1
2,31,1083.43,600,229.46,253.97,9,2,37618,3.561,-1,-1
2,35,1083.43,600,229.46,253.97,9,2,37618,24.463,38928,-1
3,11,1344.96,900,271.42,173.54,12,3,41446,1.966,-1,-1
3,21,1286.86,900,246.6,140.26,9,3,35362,1.85,-1,-1
3,31,1073.05,600,238.41,234.64,9,2,39588,3.594,-1,-1
3,35,1073.05,600,238.41,234.64,9,2,39588,23.703,21888,-1
4,11,99999999,99999999,99999999,99999999,12,-1,99999999,0.8,-1,-1
4,21,1539.21,900,327.42,311.79,9,3,42828,1.902,-1,-1
4,31,1486.06,900,311.48,274.58,9,3,40258,3.434,-1,-1
4,35,1486.06,900,311.48,274.58,9,3,38172,18.166,8640,-1
5,11,99999999,99999999,99999999,99999999,12,-1,99999999,0.821,-1,-1
5,21,1507.82,900,316.7,291.12,9,3,44377,2.043,-1,-1
5,31,1461.13,900,316.92,244.21,9,3,41129,3.074,-1,-1
5,35,1461.13,900,316.92,244.21,9,3,40095,17.016,12816,-1
6,11,1081.05,600,213.36,267.69,12,2,44014,2.031,-1,-1
6,21,1138.18,600,263.35,274.83,9,2,45097,1.794,-1,-1
6,31,1081.05,600,213.36,267.69,9,2,44014,2.741,-1,-1
6,35,1081.05,600,213.36,267.69,9,2,44014,22.586,26928,-1
7,11,1194.34,600,279.96,314.38,12,2,45081,1.808,-1,-1
7,21,1041.03,600,200.77,240.26,9,2,41429,1.82,-1,-1
7,31,999.67,600,200.77,198.9,9,2,42406,2.657,-1,-1
7,35,999.67,600,200.77,198.9,9,2,42406,27.476,52704,-1
8,11,99999999,99999999,99999999,99999999,12,-1,99999999,0.918,-1,-1
8,21,1203.01,600,265.37,337.64,9,2,44059,1.894,-1,-1
8,31,1164.5,600,265.37,299.13,9,2,44059,2.768,-1,-1
8,35,1164.5,600,265.37,299.13,9,2,44059,21.437,26496,-1
9,11,1131.89,600,218.68,313.21,12,2,37050,1.546,-1,-1
9,21,1126.29,600,217.06,309.23,9,2,37050,1.886,-1,-1
9,31,1126.29,600,217.06,309.23,9,2,37050,4.446,-1,-1
9,35,1126.29,600,217.06,309.23,9,2,37050,26.712,26592,-1
10,11,99999999,99999999,99999999,99999999,12,-1,99999999,0.849,-1,-1
10,21,1435.27,600,283.62,551.65,9,2,45402,1.763,-1,-1
10,31,1425.97,900,265.36,260.61,9,3,33437,4.611,-1,-1
10,35,1251.56,600,265.51,386.05,9,2,43548,19.457,13920,-1
11,11,99999999,99999999,99999999,99999999,12,-1,99999999,0.772,-1,-1
11,21,1146.7,600,250.84,295.86,9,2,39982,1.822,-1,-1
11,31,1101.75,600,248.29,253.46,9,2,39408,2.578,-1,-1
11,35,1101.75,600,248.29,253.46,9,2,39408,17.51,11568,-1
12,11,1222.22,900,225.21,97.01,12,3,28469,2.267,-1,-1
12,21,1062.08,600,223.51,238.57,9,2,41607,2.002,-1,-1
12,31,1056.05,600,219.55,236.5,9,2,41607,5.334,-1,-1
12,35,1056.05,600,219.55,236.5,9,2,41607,27.432,40512,-1
13,11,1374.0,900,246.5,227.5,12,3,37407,0.791,-1,-1
13,21,1307.69,900,236.3,171.39,9,3,38371,1.931,-1,-1
13,31,1101.88,600,236.3,265.58,9,2,38404,3.216,-1,-1
13,35,1101.88,600,236.3,265.58,9,2,38404,20.773,15360,-1
14,11,99999999,99999999,99999999,99999999,12,-1,99999999,0.778,-1,-1
14,21,1458.54,900,312.73,245.81,9,3,38622,1.919,-1,-1
14,31,1428.4,900,303.69,224.71,9,3,39905,3.031,-1,-1
14,35,1428.4,900,303.69,224.71,9,3,39905,16.388,7920,-1
15,11,1020.66,600,199.83,220.83,12,2,34022,2.03,-1,-1
15,21,1008.59,600,175.17,233.42,9,2,33421,1.724,-1,-1
15,31,1008.59,600,175.17,233.42,9,2,33421,3.41,-1,-1
15,35,1008.59,600,175.17,233.42,9,2,33421,29.461,58944,-1
16,11,1329.43,900,272.12,157.31,12,3,34410,2.185,-1,-1
16,21,1131.14,600,223.67,307.47,9,2,41906,1.753,-1,-1
16,31,1078.22,600,235.84,242.38,9,2,41420,3.516,-1,-1
16,35,1078.22,600,235.84,242.38,9,2,41420,28.146,40176,-1
17,11,1217.98,600,257.83,360.15,12,2,41443,1.934,-1,-1
17,21,1217.98,600,257.83,360.15,9,2,41443,1.629,-1,-1
17,31,1217.98,600,257.83,360.15,9,2,41443,4.362,-1,-1
17,35,1217.98,600,257.83,360.15,9,2,41443,17.425,7584,-1
18,11,952.02,600,172.82,179.2,12,2,34708,1.828,-1,-1
18,21,952.02,600,172.82,179.2,9,2,34708,1.849,-1,-1
18,31,952.02,600,172.82,179.2,9,2,34708,3.76,-1,-1
18,35,952.02,600,172.82,179.2,9,2,34708,30.125,53040,-1
19,11,99999999,99999999,99999999,99999999,12,-1,99999999,0.881,-1,-1
19,21,1485.12,900,299.97,285.15,9,3,38713,2.448,-1,-1
19,31,1414.72,900,296.41,218.31,9,3,35953,3.703,-1,-1
19,35,1414.72,900,296.41,218.31,9,3,35953,19.779,18432,-1
20,11,986.26,600,178.32,207.94,12,2,34617,2.096,-1,-1
20,21,1024.38,600,210.15,214.23,9,2,43090,1.918,-1,-1
20,31,986.26,600,178.32,207.94,9,2,34617,2.81,-1,-1
20,35,986.26,600,178.32,207.94,9,2,34617,29.071,58608,-1
