example_id,alg_id,best_objv,rent,electricity,time_pen,chrome_len,use_car_num,whole_time,exec_time,feasible_count,hit_cache
1,15,99999999,99999999,99999999,99999999,9,-1,99999999,12.707,0,-1
1,25,857.21,600,149.03,108.18,5,2,28806,0.003,12,-1
1,35,857.21,600,149.03,108.18,5,2,28806,0.01,48,-1
2,15,99999999,99999999,99999999,99999999,9,-1,99999999,12.26,0,-1
2,25,946.09,600,178.62,167.47,5,2,41358,0.004,12,-1
2,35,922.65,600,203.03,119.62,5,2,33350,0.011,36,-1
3,15,99999999,99999999,99999999,99999999,9,-1,99999999,11.529,0,-1
3,25,894.97,600,176.47,118.5,5,2,35693,0.003,10,-1
3,35,869.31,600,174.76,94.55,5,2,30868,0.007,36,-1
4,15,99999999,99999999,99999999,99999999,9,-1,99999999,12.684,0,-1
4,25,824.28,600,157.2,67.08,5,2,31030,0.004,16,-1
4,35,820.04,600,152.96,67.08,5,2,30640,0.013,56,-1
5,15,99999999,99999999,99999999,99999999,9,-1,99999999,10.253,0,-1
5,25,99999999,99999999,99999999,99999999,5,-1,99999999,0.002,0,-1
5,35,915.38,600,196.87,118.51,5,2,39536,0.007,40,-1
6,15,99999999,99999999,99999999,99999999,9,-1,99999999,11.389,0,-1
6,25,950.86,600,194.06,156.8,5,2,37678,0.003,16,-1
6,35,950.86,600,194.06,156.8,5,2,37678,0.008,52,-1
7,15,649.7,99999999,99999999,99999999,9,-1,99999999,14.168,288,-1
7,25,649.7,300,120.23,229.47,5,1,38345,0.009,72,-1
7,35,649.7,300,120.23,229.47,5,1,38345,0.017,84,-1
8,15,594.0,99999999,99999999,99999999,9,-1,99999999,14.451,336,-1
8,25,594.0,300,117.27,176.73,5,1,38378,0.006,48,-1
8,35,594.0,300,117.27,176.73,5,1,38378,0.017,92,-1
9,15,99999999,99999999,99999999,99999999,9,-1,99999999,10.138,0,-1
9,25,904.03,600,190.65,113.38,5,2,34464,0.003,4,-1
9,35,901.73,600,190.65,111.08,5,2,33021,0.006,20,-1
10,15,534.14,99999999,99999999,99999999,9,-1,99999999,12.984,96,-1
10,25,654.22,300,108.75,245.47,5,1,36689,0.006,46,-1
10,35,534.14,300,108.75,125.39,5,1,34623,0.012,84,-1
11,15,99999999,99999999,99999999,99999999,9,-1,99999999,13.373,0,-1
11,25,838.83,600,161.84,76.99,5,2,31791,0.005,34,-1
11,35,838.83,600,161.84,76.99,5,2,31791,0.012,56,-1
12,15,99999999,99999999,99999999,99999999,9,-1,99999999,11.502,0,-1
12,25,992.25,600,194.62,197.63,5,2,40386,0.002,4,-1
12,35,976.73,600,194.62,182.11,5,2,39819,0.007,40,-1
13,15,669.91,99999999,99999999,99999999,9,-1,99999999,14.309,216,-1
13,25,669.91,300,117.88,252.03,5,1,38881,0.005,44,-1
13,35,669.91,300,117.88,252.03,5,1,38881,0.013,80,-1
14,15,99999999,99999999,99999999,99999999,9,-1,99999999,10.706,0,-1
14,25,992.6,600,200.22,192.38,5,2,41547,0.002,4,-1
14,35,909.17,600,194.06,115.11,5,2,33672,0.007,28,-1
15,15,99999999,99999999,99999999,99999999,9,-1,99999999,12.633,0,-1
15,25,901.43,600,179.39,122.04,5,2,33598,0.005,30,-1
15,35,880.52,600,153.24,127.28,5,2,34556,0.012,52,-1
16,15,691.48,99999999,99999999,99999999,9,-1,99999999,12.463,176,-1
16,25,691.48,300,130.47,261.01,5,1,41065,0.004,28,-1
16,35,691.48,300,130.47,261.01,5,1,41065,0.012,72,-1
17,15,99999999,99999999,99999999,99999999,9,-1,99999999,10.73,0,-1
17,25,955.12,600,185.02,170.1,5,2,35854,0.003,16,-1
17,35,870.58,600,170.57,100.01,5,2,30080,0.008,40,-1
18,15,616.59,99999999,99999999,99999999,9,-1,99999999,13.932,336,-1
18,25,696.23,300,120.35,275.88,5,1,38012,0.005,38,-1
18,35,616.59,300,114.01,202.58,5,1,36530,0.017,72,-1
19,15,527.13,99999999,99999999,99999999,9,-1,99999999,15.913,784,-1
19,25,555.9,300,113.99,141.91,5,1,36872,0.006,46,-1
19,35,527.13,300,97.02,130.11,5,1,32858,0.019,116,-1
20,15,99999999,99999999,99999999,99999999,9,-1,99999999,11.873,0,-1
20,25,789.15,600,150.74,38.41,5,2,31357,0.003,8,-1
20,35,788.58,600,147.78,40.8,5,2,30461,0.012,52,-1
