example_id,alg_id,best_objv,rent,electricity,time_pen,chrome_len,use_car_num,whole_time,exec_time,feasible_count,hit_cache
1,15,99999999,99999999,99999999,99999999,9,-1,99999999,11.778,0,-1
1,25,1057.91,600,229.51,228.4,6,2,41274,0.014,8,-1
1,35,1036.32,600,219.05,217.27,6,2,37952,0.034,48,-1
2,15,981.64,600,220.65,160.99,9,2,36659,11.932,96,-1
2,25,99999999,99999999,99999999,99999999,6,-1,99999999,0.013,0,-1
2,35,981.64,600,220.65,160.99,6,2,36659,0.038,56,-1
3,15,99999999,99999999,99999999,99999999,9,-1,99999999,10.521,0,-1
3,25,1116.16,600,272.8,243.36,6,2,44574,0.014,14,-1
3,35,1106.29,600,272.8,233.49,6,2,45105,0.031,48,-1
4,15,99999999,99999999,99999999,99999999,9,-1,99999999,11.859,0,-1
4,25,1033.57,600,200.31,233.26,6,2,42901,0.013,12,-1
4,35,977.12,600,230.64,146.48,6,2,42753,0.039,80,-1
5,15,99999999,99999999,99999999,99999999,9,-1,99999999,11.367,0,-1
5,25,1072.81,600,253.37,219.44,6,2,43941,0.014,12,-1
5,35,1064.44,600,253.37,211.07,6,2,41957,0.033,48,-1
6,15,1002.25,600,226.49,175.76,9,2,42305,12.199,224,-1
6,25,939.08,600,188.88,150.2,6,2,35486,0.019,46,-1
6,35,936.38,600,188.88,147.5,6,2,37105,0.047,152,-1
7,15,957.11,600,193.94,163.17,9,2,36767,11.741,128,-1
7,25,936.47,600,210.34,126.13,6,2,44516,0.013,12,-1
7,35,923.89,600,210.34,113.55,6,2,42774,0.042,120,-1
8,15,878.93,600,182.92,96.01,9,2,30996,14.249,928,-1
8,25,910.48,600,210.97,99.51,6,2,35391,0.017,34,-1
8,35,862.86,600,166.85,96.01,6,2,30996,0.063,256,-1
9,15,99999999,99999999,99999999,99999999,9,-1,99999999,12.776,0,-1
9,25,830.05,600,152.32,77.73,6,2,32362,0.017,60,-1
9,35,821.18,600,152.32,68.86,6,2,30338,0.054,256,-1
10,15,906.9,600,195.14,111.76,9,2,37468,11.251,192,-1
10,25,884.5,600,172.74,111.76,6,2,37468,0.012,10,-1
10,35,884.5,600,172.74,111.76,6,2,37468,0.035,56,-1
11,15,99999999,99999999,99999999,99999999,9,-1,99999999,12.484,0,-1
11,25,964.85,600,180.17,184.68,6,2,37594,0.015,28,-1
11,35,882.74,600,180.17,102.57,6,2,36982,0.044,144,-1
12,15,610.26,300,128.92,181.34,9,1,42108,14.993,1664,-1
12,25,610.26,300,128.92,181.34,6,1,42108,0.037,242,-1
12,35,610.26,300,128.92,181.34,6,1,42108,0.073,364,-1
13,15,99999999,99999999,99999999,99999999,9,-1,99999999,12.814,0,-1
13,25,1110.28,600,249.84,260.44,6,2,42261,0.013,6,-1
13,35,1040.48,600,232.33,208.15,6,2,43122,0.037,48,-1
14,15,953.2,600,212.52,140.68,9,2,35387,11.634,192,-1
14,25,953.2,600,212.52,140.68,6,2,35387,0.012,6,-1
14,35,953.2,600,212.52,140.68,6,2,35387,0.033,16,-1
15,15,847.02,600,170.92,76.1,9,2,28433,12.074,960,-1
15,25,897.55,600,188.68,108.87,6,2,34484,0.016,26,-1
15,35,847.02,600,170.92,76.1,6,2,28433,0.045,88,-1
16,15,99999999,99999999,99999999,99999999,9,-1,99999999,11.523,0,-1
16,25,1085.34,600,268.59,216.75,6,2,43912,0.016,24,-1
16,35,1065.85,600,258.96,206.89,6,2,44108,0.038,88,-1
17,15,590.0,300,118.83,171.17,9,1,39056,16.105,2816,-1
17,25,590.0,300,118.83,171.17,6,1,39056,0.031,194,-1
17,35,590.0,300,118.83,171.17,6,1,39056,0.116,472,-1
18,15,1023.14,600,232.23,190.91,9,2,39500,12.001,128,-1
18,25,1023.14,600,232.23,190.91,6,2,39500,0.013,6,-1
18,35,1023.14,600,232.23,190.91,6,2,39500,0.035,40,-1
19,15,99999999,99999999,99999999,99999999,9,-1,99999999,11.922,0,-1
19,25,1009.3,600,232.06,177.24,6,2,43810,0.013,4,-1
19,35,1009.3,600,232.06,177.24,6,2,43810,0.04,96,-1
20,15,99999999,99999999,99999999,99999999,9,-1,99999999,10.406,0,-1
20,25,1042.5,600,243.39,199.11,6,2,42127,0.016,36,-1
20,35,1002.32,600,243.39,158.93,6,2,43444,0.034,88,-1
